# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /Users/seanreed1/.cmdstanpy/cmdstan-2.22.1/examples/bernoulli/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 50844
# output
#   file = /Users/seanreed1/BAYESIAN-REPOS/MY-RAOS-LECTURE/bernoulli-202010021107-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.782915
# Diagonal elements of inverse mass matrix:
# 0.553816
-6.85209,1,0.782915,1,1,0,6.89645,0.309693
-6.89999,0.932647,0.782915,2,7,0,7.33897,0.185645
-6.81202,0.969564,0.782915,1,3,0,7.20957,0.29639
-6.78657,1,0.782915,1,1,0,6.80938,0.285728
-6.78657,0.894834,0.782915,1,3,0,7.43141,0.285728
-6.74852,0.935093,0.782915,2,3,0,7.29699,0.246049
-6.81384,0.986325,0.782915,1,3,0,6.84167,0.206575
-6.79211,1,0.782915,1,1,0,6.81285,0.214162
-9.00117,0.782064,0.782915,3,7,0,9.18162,0.0598997
-6.89333,1,0.782915,2,3,0,8.73791,0.186966
-6.79182,0.975779,0.782915,1,3,0,7.14224,0.288151
-6.74948,0.996496,0.782915,1,3,0,6.81865,0.243282
-7.95792,0.850741,0.782915,2,3,0,7.95812,0.0950971
-6.77011,1,0.782915,2,3,0,7.7809,0.224362
-6.77618,0.999643,0.782915,2,3,0,6.77856,0.221148
-6.77618,0.737366,0.782915,1,3,0,8.78711,0.221148
-7.27885,0.914595,0.782915,1,3,0,7.45454,0.137925
-7.47074,0.977938,0.782915,1,1,0,7.49396,0.122802
-8.02109,0.97206,0.782915,3,7,0,8.04777,0.092239
-8.24186,0.982098,0.782915,1,1,0,8.3174,0.0831794
-7.92587,1,0.782915,1,1,0,8.26065,0.0965987
-6.7677,0.937894,0.782915,1,3,0,8.94652,0.275326
-6.7677,0.887555,0.782915,1,3,0,7.4456,0.275326
-6.7677,0.781902,0.782915,1,3,0,8.12272,0.275326
-6.77622,0.998261,0.782915,1,1,0,6.77819,0.280439
-7.02427,0.910296,0.782915,1,3,0,7.39721,0.165553
-6.75944,0.992233,0.782915,1,3,0,7.06445,0.231433
-7.25789,0.896073,0.782915,1,3,0,7.57356,0.387775
-6.93506,1,0.782915,1,1,0,7.18476,0.331094
-7.32718,0.889835,0.782915,2,3,0,7.88181,0.397431
-7.5001,0.958377,0.782915,1,1,0,7.59518,0.419408
-7.5001,0.728083,0.782915,1,1,0,8.46083,0.419408
-6.8167,0.971145,0.782915,2,3,0,7.73252,0.298116
-6.75494,0.923529,0.782915,2,3,0,7.41893,0.23549
-6.86536,0.952035,0.782915,2,3,0,7.12714,0.192935
-6.83421,0.966883,0.782915,1,3,0,7.1923,0.304123
-6.83421,0.722098,0.782915,1,3,0,8.56389,0.304123
-7.50641,0.739192,0.782915,1,3,0,8.69271,0.120331
-8.87674,0.894813,0.782915,3,7,0,9.12492,0.063073
-8.87674,0.955316,0.782915,1,1,0,9.68449,0.063073
-8.16896,0.983067,0.782915,3,7,0,8.98785,0.0860233
-6.83427,0.974982,0.782915,2,3,0,8.77255,0.200629
-7.11421,0.967934,0.782915,2,3,0,7.20117,0.154377
-7.25621,0.99397,0.782915,2,3,0,7.27376,0.139958
-6.82706,0.953145,0.782915,2,3,0,7.8862,0.202626
-6.91949,0.99001,0.782915,2,7,0,6.94551,0.327479
-6.91031,1,0.782915,1,1,0,6.94961,0.325277
-6.83969,0.982422,0.782915,2,3,0,7.08134,0.305884
-7.34149,0.93422,0.782915,2,7,0,7.37853,0.132605
-6.88452,0.997917,0.782915,2,3,0,7.38446,0.188769
-6.97033,0.987042,0.782915,1,1,0,6.97437,0.173407
-7.22839,0.867345,0.782915,2,3,0,9.12325,0.38348
-7.01598,1,0.782915,1,1,0,7.19918,0.347986
-6.75174,0.985724,0.782915,1,3,0,7.12998,0.239321
-7.0686,0.932122,0.782915,1,3,0,7.25082,0.357722
-7.2134,0.786199,0.782915,2,7,0,8.63206,0.14398
-7.55233,0.851399,0.782915,2,7,0,9.41669,0.425565
-7.18995,1,0.782915,1,1,0,7.50088,0.377698
-7.12823,1,0.782915,2,7,0,7.17177,0.152801
-6.88297,0.937487,0.782915,1,3,0,7.85465,0.318352
-7.05077,0.962826,0.782915,1,1,0,7.05457,0.354511
-7.19971,0.780364,0.782915,1,3,0,8.55521,0.145319
-6.82533,0.997405,0.782915,2,7,0,7.15526,0.301156
-6.82533,0.906475,0.782915,1,3,0,7.40194,0.301156
-6.79497,1,0.782915,1,1,0,6.82235,0.289539
-7.39559,0.921007,0.782915,2,7,0,7.41178,0.128327
-6.77525,0.96732,0.782915,2,3,0,7.88907,0.221616
-6.77602,0.990592,0.782915,1,3,0,6.86931,0.280328
-7.18146,0.862232,0.782915,1,3,0,7.72025,0.147149
-7.48148,0.969438,0.782915,3,7,0,7.67222,0.417165
-7.21882,1,0.782915,1,1,0,7.47294,0.382062
-6.90906,0.892614,0.782915,1,3,0,8.03602,0.183899
-6.95327,0.993365,0.782915,1,1,0,6.96737,0.176132
-6.95327,0.78178,0.782915,1,3,0,9.25232,0.176132
-7.11691,0.976999,0.782915,1,1,0,7.11873,0.15407
-7.04992,1,0.782915,1,1,0,7.13452,0.162154
-7.00996,0.934789,0.782915,1,3,0,7.98119,0.346817
-6.86997,0.941985,0.782915,1,3,0,7.56377,0.191899
-8.34574,0.912311,0.782915,2,3,0,8.35844,0.502321
-8.27991,0.935258,0.782915,2,7,0,9.24663,0.0817475
-9.02823,0.949613,0.782915,1,1,0,9.03085,0.0592364
-8.44412,0.988606,0.782915,2,3,0,9.6497,0.0759441
-8.04913,1,0.782915,1,1,0,8.44932,0.0910106
-9.20902,0.875285,0.782915,3,7,0,10.6931,0.565296
-9.10013,1,0.782915,1,1,0,9.73533,0.558129
-8.26458,1,0.782915,1,1,0,9.09651,0.495528
-7.46692,1,0.782915,1,1,0,8.10988,0.415392
-7.36163,1,0.782915,2,3,0,7.5578,0.402032
-6.78288,0.949521,0.782915,1,3,0,7.76164,0.218001
-7.69493,0.928202,0.782915,2,3,0,7.72055,0.441467
-6.74852,1,0.782915,2,3,0,7.62679,0.246057
-6.75499,0.998923,0.782915,1,3,0,6.75619,0.235436
-6.7661,0.994319,0.782915,2,7,0,6.80164,0.274257
-6.76904,0.991356,0.782915,1,3,0,6.83575,0.224973
-7.35928,0.8926,0.782915,1,3,0,7.60895,0.131168
-7.65809,0.967733,0.782915,1,1,0,7.67031,0.110735
-7.56231,1,0.782915,2,3,0,7.72289,0.116632
-7.46227,1,0.782915,1,1,0,7.61496,0.123403
-7.30054,1,0.782915,1,1,0,7.47493,0.136035
-7.65478,0.960082,0.782915,2,3,0,8.00581,0.11093
-7.4125,1,0.782915,1,1,0,7.65332,0.127044
-7.78467,0.961354,0.782915,1,1,0,7.79154,0.103669
-7.77256,0.999897,0.782915,3,7,0,7.78355,0.104313
-6.87965,0.971119,0.782915,1,3,0,7.8736,0.189795
-6.78511,0.997797,0.782915,2,3,0,6.90987,0.217027
-6.98049,0.980961,0.782915,2,7,0,6.98299,0.340915
-6.75141,0.996989,0.782915,1,3,0,6.9941,0.26038
-6.78407,0.98996,0.782915,1,3,0,6.82673,0.21748
-8.80705,0.796434,0.782915,3,7,0,8.95533,0.0649433
-8.12985,1,0.782915,1,1,0,8.76107,0.0876069
-8.41228,0.978376,0.782915,1,1,0,8.47851,0.077024
-6.76215,0.957355,0.782915,1,3,0,9.30411,0.229389
-6.83936,0.88778,0.782915,2,3,0,7.84664,0.305778
