# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /Users/seanreed1/.cmdstanpy/cmdstan-2.22.1/examples/bernoulli/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 50844
# output
#   file = /Users/seanreed1/BAYESIAN-REPOS/MY-RAOS-LECTURE/bernoulli-202010021107-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.990163
# Diagonal elements of inverse mass matrix:
# 0.481564
-6.74811,0.980619,0.990163,1,3,0,7.42548,0.251623
-6.85225,0.972996,0.990163,1,3,0,6.88231,0.196018
-6.91733,0.772667,0.990163,2,3,0,8.92228,0.182357
-6.84699,0.978963,0.990163,2,3,0,7.14105,0.308152
-6.94358,0.970728,0.990163,1,1,0,6.95908,0.333013
-6.75006,1,0.990163,1,3,0,6.90653,0.258032
-7.1691,0.869028,0.990163,2,3,0,7.55946,0.374464
-7.37299,0.933744,0.990163,1,1,0,7.47648,0.403523
-6.74891,1,0.990163,1,3,0,7.2601,0.255293
-7.09313,0.774057,0.990163,2,3,0,8.05467,0.156822
-7.40884,0.946139,0.990163,1,1,0,7.42045,0.12732
-9.54457,0.791031,0.990163,1,3,0,9.79621,0.0481474
-10.7808,0.933842,0.990163,1,1,0,10.8003,0.0301442
-6.8547,0.885645,0.990163,2,7,0,9.87153,0.310466
-6.93024,0.934174,0.990163,1,3,0,7.21656,0.180037
-7.47263,0.861891,0.990163,1,3,0,8.00159,0.416089
-7.47263,0.92643,0.990163,1,1,0,7.82071,0.416089
