# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /Users/seanreed1/.cmdstanpy/cmdstan-2.22.1/examples/bernoulli/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 26954
# output
#   file = /Users/seanreed1/BAYESIAN-REPOS/MY-RAOS-LECTURE/bernoulli-202010021115-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.00495
# Diagonal elements of inverse mass matrix:
# 0.435142
-7.69115,0.945523,1.00495,2,3,0,7.71132,0.44106
-7.14604,1,1.00495,1,1,0,7.57002,0.3708
-6.89394,0.92639,1.00495,1,3,0,7.57791,0.186842
-6.94753,0.98952,1.00495,1,1,0,6.96579,0.17708
-7.11048,0.970433,1.00495,1,1,0,7.11967,0.154803
-6.75403,0.984068,1.00495,1,3,0,7.21264,0.263867
-6.92343,0.963078,1.00495,1,3,0,6.93569,0.328407
-7.26606,0.826054,1.00495,1,3,0,8.02207,0.139066
-8.11236,0.936159,1.00495,2,7,0,8.12171,0.482261
-7.1019,1,1.00495,1,1,0,7.80925,0.363506
-6.7587,0.965782,1.00495,2,3,0,7.31648,0.268561
-7.2511,0.859264,1.00495,1,3,0,7.55982,0.140425
-7.06961,1,1.00495,1,1,0,7.24199,0.159667
-7.25728,0.968752,1.00495,1,1,0,7.27791,0.13986
-6.98583,0.913139,1.00495,2,7,0,7.94775,0.342009
-7.24804,0.923426,1.00495,1,1,0,7.28009,0.386355
-6.74805,0.999921,1.00495,1,3,0,7.21212,0.248999
-7.03062,0.933974,1.00495,1,3,0,7.087,0.350776
-6.91187,1,1.00495,1,1,0,7.02245,0.325656
-6.8396,0.960461,1.00495,1,3,0,7.1585,0.199208
-6.82113,0.889096,1.00495,2,3,0,7.72586,0.20435
-7.01811,0.984251,1.00495,2,3,0,7.01819,0.348396
-6.99502,1,1.00495,1,1,0,7.07645,0.343866
-7.30427,0.909921,1.00495,1,1,0,7.33474,0.394301
-6.93853,1,1.00495,2,3,0,7.20763,0.331879
-7.73894,0.782462,1.00495,1,1,0,7.74024,0.446138
-8.17907,0.865627,1.00495,1,1,0,8.41883,0.488164
-7.04061,1,1.00495,1,1,0,7.8258,0.352642
-7.04061,0.799024,1.00495,1,1,0,7.55159,0.352642
-7.8744,0.904958,1.00495,2,3,0,7.88736,0.459915
-8.25567,0.960733,1.00495,2,3,0,8.54656,0.494771
-8.96785,0.791266,1.00495,1,1,0,9.33832,0.549158
-8.1476,1,1.00495,1,1,0,9.02145,0.485397
-8.02446,1,1.00495,1,1,0,8.48461,0.474253
-8.02446,0.712117,1.00495,1,1,0,8.9797,0.474253
-7.16284,1,1.00495,2,7,0,7.81921,0.149071
-6.89952,1,1.00495,1,1,0,7.11323,0.185736
-6.83403,0.88181,1.00495,2,3,0,7.90631,0.200693
-6.78914,1,1.00495,1,1,0,6.82615,0.215345
-6.97204,0.615235,1.00495,2,3,0,10.0551,0.173141
-7.06739,0.994215,1.00495,2,3,0,7.09044,0.159943
-6.77714,0.897664,1.00495,2,3,0,8.33752,0.280943
-6.7958,0.995,1.00495,1,1,0,6.80008,0.2899
-6.84256,0.967594,1.00495,1,3,0,6.99351,0.198442
-7.49885,0.897493,1.00495,1,3,0,7.56873,0.120847
-6.76874,1,1.00495,1,3,0,7.5227,0.22515
-6.92071,0.972676,1.00495,1,3,0,6.92967,0.18174
-6.75928,1,1.00495,2,3,0,6.88498,0.269065
-6.76905,0.997452,1.00495,1,1,0,6.7703,0.276201
-6.74958,1,1.00495,1,3,0,6.76506,0.257016
-7.30133,0.856793,1.00495,1,3,0,7.57116,0.135967
-6.76711,0.966433,1.00495,1,3,0,7.52047,0.274935
-6.95711,0.973226,1.00495,2,3,0,6.95916,0.175507
-7.9945,0.929713,1.00495,2,3,0,8.04613,0.471461
-6.75637,0.886453,1.00495,2,3,0,8.77843,0.266377
-6.76742,0.997133,1.00495,1,1,0,6.76797,0.275143
-6.92271,0.946182,1.00495,1,3,0,7.06805,0.181378
-6.74806,0.997488,1.00495,1,3,0,6.9404,0.251021
-7.33526,0.854737,1.00495,1,3,0,7.58907,0.133115
-7.0852,1,1.00495,1,1,0,7.30743,0.157766
-6.75049,0.918253,1.00495,2,3,0,7.82914,0.241279
-6.74908,0.995874,1.00495,2,3,0,6.7769,0.255779
-6.75011,0.993288,1.00495,2,3,0,6.79032,0.241983
-6.90754,0.975268,1.00495,2,3,0,6.94202,0.184187
-7.18298,0.949819,1.00495,1,1,0,7.18298,0.146995
-8.426,0.852403,1.00495,1,3,0,8.51166,0.0765562
-8.69706,0.976236,1.00495,1,1,0,8.83861,0.068043
-8.61838,1,1.00495,1,1,0,8.91418,0.0703793
-8.35643,1,1.00495,1,1,0,8.73315,0.0789698
-7.67511,1,1.00495,1,1,0,8.28617,0.109739
-7.20106,1,1.00495,2,3,0,7.60644,0.145186
-7.1265,1,1.00495,1,1,0,7.24108,0.152993
-6.92445,0.98428,1.00495,2,3,0,7.34777,0.181065
-6.79068,0.761635,1.00495,2,3,0,9.4871,0.214724
