# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /Users/seanreed1/.cmdstanpy/cmdstan-2.22.1/examples/bernoulli/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 26954
# output
#   file = /Users/seanreed1/BAYESIAN-REPOS/MY-RAOS-LECTURE/bernoulli-202010021115-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.13645
# Diagonal elements of inverse mass matrix:
# 0.456479
-6.755,0.983587,1.13645,2,3,0,6.92421,0.235433
-7.02454,0.929568,1.13645,2,3,0,7.19346,0.165516
-8.44298,0.829448,1.13645,1,3,0,8.5025,0.0759824
-7.81393,1,1.13645,1,1,0,8.42319,0.102138
-8.6566,0.887204,1.13645,1,1,0,8.69564,0.0692316
-6.81568,0.824825,1.13645,2,3,0,9.06595,0.297743
-6.75067,1,1.13645,1,3,0,6.79347,0.259164
-6.75067,0.499896,1.13645,2,3,0,9.0859,0.259164
-7.47972,0.814595,1.13645,1,3,0,7.66669,0.122172
-7.28803,1,1.13645,2,3,0,7.52796,0.137119
-7.38061,0.981245,1.13645,1,1,0,7.49065,0.129485
-8.78993,0.954292,1.13645,2,3,0,9.49117,0.536595
-9.00015,0.911895,1.13645,1,1,0,9.85927,0.551376
-7.07887,1,1.13645,1,1,0,8.24198,0.359534
-6.86016,0.438192,1.13645,2,3,0,10.4818,0.312059
-7.44236,0.890859,1.13645,2,3,0,7.47909,0.124836
-6.88763,1,1.13645,1,3,0,7.30801,0.188125
-6.88763,0.589999,1.13645,1,3,0,8.70437,0.188125
-6.88384,0.717069,1.13645,2,3,0,9.04015,0.18891
-6.81476,1,1.13645,1,1,0,6.87399,0.206287
-6.75784,1,1.13645,2,3,0,6.80655,0.267782
-7.68084,0.769561,1.13645,1,3,0,7.68812,0.43995
-7.35179,1,1.13645,1,1,0,7.76054,0.40073
-7.35179,0.901497,1.13645,1,1,0,7.7155,0.40073
-7.64018,0.961135,1.13645,2,3,0,7.86354,0.435507
-8.96411,0.558489,1.13645,1,1,0,9.27111,0.5489
-7.52576,1,1.13645,2,3,0,9.14506,0.119028
-7.42157,1,1.13645,2,3,0,7.6383,0.126365
-8.19956,0.874718,1.13645,1,1,0,8.21597,0.0848132
-9.56944,0.854695,1.13645,1,1,0,9.57791,0.0476795
-10.6214,0.92999,1.13645,1,1,0,10.7284,0.0319687
-9.71019,1,1.13645,2,3,0,10.7053,0.0451309
-7.26879,1,1.13645,1,3,0,9.495,0.13882
-6.76809,0.998173,1.13645,1,3,0,7.1579,0.225534
-6.75395,1,1.13645,2,3,0,6.76476,0.26377
-7.08619,0.906749,1.13645,1,3,0,7.17451,0.157647
-6.81756,1,1.13645,1,1,0,7.0136,0.205422
-6.94691,0.96487,1.13645,1,1,0,6.95165,0.177183
-7.60684,0.892152,1.13645,2,3,0,8.07364,0.431791
-6.80331,1,1.13645,1,1,0,7.29111,0.293018
-6.93428,0.951803,1.13645,1,1,0,6.94445,0.330916
-6.75213,0.919514,1.13645,2,3,0,7.22117,0.238792
-6.87502,0.966411,1.13645,1,3,0,6.8951,0.316218
-6.78384,0.973256,1.13645,2,3,0,7.00673,0.217578
-6.90659,0.985547,1.13645,2,3,0,6.90712,0.184368
-6.74804,0.99452,1.13645,2,3,0,6.93098,0.250785
-6.77495,0.946174,1.13645,2,3,0,6.98673,0.279729
-6.85774,0.986605,1.13645,2,3,0,6.86608,0.194703
-7.05318,0.949988,1.13645,1,1,0,7.05953,0.161735
-7.43854,0.91835,1.13645,1,1,0,7.4557,0.125115
-6.92705,1,1.13645,2,3,0,7.27873,0.329251
-6.92705,0.442676,1.13645,2,3,0,8.99399,0.329251
-7.42585,0.55667,1.13645,2,3,0,8.92301,0.126048
-7.01563,1,1.13645,2,3,0,7.29104,0.347919
-7.79912,0.719774,1.13645,1,1,0,7.86501,0.452365
-7.51116,1,1.13645,1,1,0,7.96632,0.420729
-7.03492,0.927496,1.13645,1,3,0,7.89038,0.164118
-7.30192,0.940996,1.13645,1,1,0,7.32996,0.135916
-6.97699,1,1.13645,1,1,0,7.23855,0.172377
-6.97181,1,1.13645,1,1,0,7.03704,0.173177
-7.42679,0.891739,1.13645,1,3,0,7.76725,0.410415
-7.42679,0.517091,1.13645,1,1,0,8.48529,0.410415
-7.1081,1,1.13645,1,1,0,7.41201,0.364555
-8.81362,0.335309,1.13645,1,3,0,10.6194,0.064764
-6.76764,1,1.13645,2,3,0,8.32491,0.275288
-7.11884,0.893407,1.13645,1,3,0,7.25227,0.153852
-6.96056,1,1.13645,1,1,0,7.10962,0.174951
-7.60328,0.916067,1.13645,1,3,0,7.60356,0.114046
-6.75463,0.940768,1.13645,1,3,0,7.56276,0.264551
-7.19201,0.884188,1.13645,1,3,0,7.19636,0.378013
-8.33458,0.800843,1.13645,2,3,0,8.46075,0.501398
-6.89097,1,1.13645,1,1,0,7.75015,0.320441
-7.25416,0.864559,1.13645,1,1,0,7.28564,0.387239
-7.12448,1,1.13645,1,1,0,7.33635,0.367286
-7.14238,0.77578,1.13645,2,3,0,8.02814,0.15125
-8.16843,0.885348,1.13645,1,3,0,8.17129,0.0860448
-7.56203,1,1.13645,1,1,0,8.11857,0.11665
-7.64554,0.985179,1.13645,1,1,0,7.80884,0.111478
-8.28243,0.90486,1.13645,1,1,0,8.33592,0.0816538
-7.31133,1,1.13645,2,3,0,8.1093,0.135114
-7.18147,1,1.13645,1,1,0,7.3634,0.147148
-6.74808,0.947401,1.13645,2,3,0,7.39244,0.248665
-8.21825,0.667184,1.13645,1,3,0,8.25837,0.491565
-7.30496,1,1.13645,1,1,0,8.00096,0.394396
-7.37899,0.756155,1.13645,1,3,0,8.31345,0.129611
-7.29801,1,1.13645,1,1,0,7.47746,0.136252
-7.51698,0.849722,1.13645,2,3,0,9.8988,0.119616
-7.70428,0.967065,1.13645,1,1,0,7.83162,0.108068
-6.80311,0.913273,1.13645,1,3,0,7.78793,0.292937
-7.06233,0.630724,1.13645,2,3,0,8.50891,0.160575
-6.79551,1,1.13645,1,3,0,6.98893,0.21286
-7.21183,0.819453,1.13645,2,3,0,7.81615,0.381018
-7.26747,0.759005,1.13645,2,3,0,8.19294,0.138939
-6.74802,0.978082,1.13645,1,3,0,7.194,0.249796
-6.7872,0.986892,1.13645,2,3,0,6.8152,0.216142
-6.75815,0.983531,1.13645,2,3,0,6.89089,0.2325
-6.74904,0.997607,1.13645,2,3,0,6.77124,0.244376
-7.02133,0.734843,1.13645,2,3,0,7.94646,0.349013
-6.8,1,1.13645,1,1,0,6.94348,0.291668
-6.76291,0.900279,1.13645,2,3,0,7.12952,0.271971
-6.95376,0.935195,1.13645,2,3,0,7.05505,0.176052
-8.84352,0.74267,1.13645,1,3,0,9.04059,0.063956
-8.32119,1,1.13645,1,1,0,8.92646,0.0802324
-7.45874,1,1.13645,1,1,0,8.18888,0.123655
-6.93264,1,1.13645,1,1,0,7.33442,0.179617
-7.44998,0.942084,1.13645,2,3,0,7.69007,0.413308
-6.9003,0.971615,1.13645,1,3,0,7.58848,0.185584
-6.9594,0.95097,1.13645,2,3,0,7.34952,0.175137
-8.03342,0.818841,1.13645,2,3,0,8.59843,0.091696
-8.03342,0.904396,1.13645,1,1,0,8.77233,0.091696
-7.5876,1,1.13645,1,1,0,8.03972,0.115024
-8.05904,0.975071,1.13645,2,3,0,8.13425,0.0905826
-6.75638,0.933199,1.13645,1,3,0,7.93213,0.234071
-6.8508,0.978351,1.13645,1,3,0,6.85178,0.196373
-6.86027,0.997372,1.13645,1,1,0,6.88876,0.194109
-6.87825,0.995075,1.13645,1,1,0,6.9076,0.190093
-6.95029,0.907852,1.13645,2,3,0,7.46778,0.334497
-7.66321,0.694682,1.13645,2,3,0,8.35739,0.110434
-7.18428,1,1.13645,2,3,0,7.59008,0.146863
-7.15301,1,1.13645,1,1,0,7.27484,0.150109
-7.4787,0.962013,1.13645,2,3,0,7.47994,0.416827
-7.11747,1,1.13645,1,1,0,7.44753,0.366124
-6.81409,1,1.13645,1,1,0,7.00852,0.297162
-6.89901,0.968491,1.13645,1,1,0,6.91514,0.322485
-6.75107,0.99981,1.13645,1,3,0,6.86988,0.240333
-6.77382,0.989546,1.13645,2,3,0,6.80125,0.279084
-7.26948,0.868222,1.13645,1,3,0,7.26951,0.38943
-9.84144,0.326635,1.13645,1,1,0,9.96432,0.60354
-8.31068,1,1.13645,2,3,0,9.25909,0.0806145
-8.31068,0.939037,1.13645,1,1,0,8.91667,0.0806145
-8.59379,0.965417,1.13645,1,1,0,8.80352,0.0711309
-7.01349,0.828145,1.13645,2,3,0,9.16978,0.347504
-6.76675,1,1.13645,1,1,0,6.92229,0.274695
-6.74902,0.950323,1.13645,2,3,0,6.97011,0.255627
-6.74902,0.732775,1.13645,1,3,0,7.47149,0.255627
-8.25267,0.66717,1.13645,1,3,0,8.72331,0.0827689
-6.79181,1,1.13645,2,3,0,7.89507,0.288149
-7.06433,0.90166,1.13645,1,1,0,7.06764,0.356959
-7.43508,0.8568,1.13645,1,1,0,7.5334,0.411454
-6.90462,0.97024,1.13645,1,3,0,7.58509,0.184747
-6.79368,0.977672,1.13645,2,3,0,7.0827,0.213555
-6.79014,0.976124,1.13645,2,3,0,6.93131,0.21494
-7.02443,0.881088,1.13645,2,3,0,7.52988,0.165531
-6.76196,0.958805,1.13645,2,3,0,7.30736,0.229529
-6.76196,0.763053,1.13645,1,3,0,7.49683,0.229529
-6.78413,0.993197,1.13645,1,1,0,6.78589,0.217453
-6.76467,0.980256,1.13645,2,3,0,6.90906,0.227665
-6.76467,0.749973,1.13645,1,3,0,7.55279,0.227665
-7.3697,0.847969,1.13645,1,3,0,7.43976,0.403092
-9.2187,0.445651,1.13645,1,1,0,9.39791,0.565923
-7.27063,1,1.13645,2,3,0,8.50833,0.389595
-7.24379,0.856518,1.13645,2,3,0,8.045,0.141099
-7.24379,0.834269,1.13645,1,1,0,8.03683,0.141099
-6.98274,0.959656,1.13645,2,3,0,7.72389,0.171503
-6.83329,1,1.13645,1,1,0,6.94814,0.200892
-7.02382,0.983355,1.13645,2,3,0,7.0271,0.165614
-7.19418,0.924915,1.13645,2,3,0,7.78615,0.145868
-6.80369,1,1.13645,1,3,0,7.09268,0.209915
