# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /Users/seanreed1/.cmdstanpy/cmdstan-2.22.1/examples/bernoulli/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 26954
# output
#   file = /Users/seanreed1/BAYESIAN-REPOS/MY-RAOS-LECTURE/bernoulli-202010021115-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.08362
# Diagonal elements of inverse mass matrix:
# 0.442463
-6.90561,1,1.08362,1,1,0,6.95485,0.184555
-6.77392,0.827752,1.08362,2,3,0,8.17007,0.222298
-6.77392,0.968022,1.08362,1,3,0,6.92897,0.222298
-6.97932,0.959317,1.08362,1,3,0,6.98488,0.172021
-6.81429,0.982927,1.08362,2,3,0,7.12001,0.297234
-6.87442,0.980311,1.08362,1,1,0,6.88768,0.316057
-6.87929,0.769123,1.08362,2,3,0,7.88654,0.317373
-6.85542,1,1.08362,1,1,0,6.9021,0.310679
-6.78274,1,1.08362,2,3,0,6.83543,0.28386
-7.04087,0.918182,1.08362,1,1,0,7.04088,0.352691
-7.05937,0.993425,1.08362,1,1,0,7.1554,0.356071
-7.08724,0.86608,1.08362,1,3,0,7.69708,0.157522
-8.79885,0.804073,1.08362,1,3,0,8.96097,0.0651682
-8.67434,1,1.08362,1,1,0,9.04645,0.0687073
-6.85079,1,1.08362,2,3,0,8.17862,0.309305
-7.74204,0.678754,1.08362,2,3,0,8.79355,0.105964
-8.90986,0.872934,1.08362,2,3,0,9.75174,0.062208
-8.40415,1,1.08362,1,1,0,8.97745,0.0773031
-6.77247,0.988646,1.08362,2,3,0,8.43821,0.223059
-6.81659,0.984556,1.08362,1,3,0,6.87276,0.298077
-6.76844,0.993475,1.08362,1,3,0,6.85592,0.225327
-7.06667,0.921308,1.08362,1,3,0,7.16119,0.357378
-6.82729,1,1.08362,1,1,0,6.99177,0.301823
-6.99681,0.803318,1.08362,2,3,0,7.75033,0.169419
-6.7512,0.99988,1.08362,1,3,0,6.96247,0.240123
-6.81245,0.986019,1.08362,1,3,0,6.81557,0.207016
-6.81245,0.649368,1.08362,1,3,0,8.80046,0.207016
-7.81536,0.774611,1.08362,1,3,0,8.07816,0.454016
-7.1623,1,1.08362,2,3,0,7.63601,0.149127
-6.81557,0.957012,1.08362,1,3,0,7.33476,0.297704
-6.85931,0.985675,1.08362,1,1,0,6.87461,0.311815
-6.9077,0.983782,1.08362,1,1,0,6.93669,0.324641
-7.95552,0.841992,1.08362,2,3,0,7.96099,0.467776
-6.75443,1,1.08362,1,3,0,7.72058,0.236025
-6.7502,0.891602,1.08362,2,3,0,7.36059,0.241807
-6.74903,0.906684,1.08362,2,3,0,7.25527,0.244413
-6.74903,0.387948,1.08362,1,3,0,9.63225,0.244413
-6.76688,0.995855,1.08362,1,3,0,6.76757,0.226267
-6.76688,0.6374,1.08362,1,3,0,8.2493,0.226267
-6.75211,1,1.08362,2,3,0,6.76276,0.23881
-6.87709,0.966144,1.08362,1,3,0,6.90912,0.31678
-6.95966,0.99071,1.08362,2,3,0,6.99082,0.336533
-6.76187,0.998448,1.08362,2,3,0,6.98442,0.229593
-6.99622,0.95001,1.08362,1,3,0,7.01189,0.169505
-6.77963,0.964753,1.08362,2,3,0,7.18129,0.282271
-6.75702,1,1.08362,1,1,0,6.7732,0.267017
-6.77709,0.99382,1.08362,1,1,0,6.77777,0.280915
-6.76456,0.967941,1.08362,2,3,0,6.93643,0.227738
-6.76456,0.938008,1.08362,1,3,0,7.01056,0.227738
-6.75547,1,1.08362,1,1,0,6.76283,0.234957
-6.83664,0.982427,1.08362,1,3,0,6.83904,0.199991
-6.79714,0.928971,1.08362,2,3,0,7.28858,0.290472
-7.67827,0.796231,1.08362,1,3,0,7.68166,0.439672
-7.09069,1,1.08362,1,1,0,7.52766,0.361588
-6.75042,1,1.08362,1,3,0,7.04124,0.241405
-6.81453,0.986913,1.08362,2,3,0,6.83983,0.297324
-6.75809,0.99601,1.08362,1,3,0,6.83327,0.23255
-7.41191,0.842467,1.08362,1,3,0,7.51655,0.408535
-6.75717,1,1.08362,1,3,0,7.21876,0.267154
-6.80872,0.984061,1.08362,1,1,0,6.80872,0.295138
-8.6419,0.621036,1.08362,1,3,0,8.6544,0.525669
-7.84281,1,1.08362,1,1,0,8.65856,0.456779
-13.5779,0.1196,1.08362,1,1,0,13.6482,0.757318
-8.63195,1,1.08362,2,3,0,13.5903,0.0699689
-8.38553,1,1.08362,1,1,0,8.79582,0.0779477
-6.77876,0.95108,1.08362,1,3,0,8.40049,0.219894
-6.77876,0.696186,1.08362,1,3,0,8.03301,0.219894
